"Reference","Value","Qty","Datasheet","Footprint","DNP"
"BT1","Battery_Cell","1","~","",""
"BZ1","Buzzer","1","https://www.soberton.com/wp-content/uploads/2022/03/PT-1306T.pdf","Buzzer_Beeper:Buzzer_12x9.5RM7.6",""
"C1","100uF","1","~","",""
"C2,C3,C4,C5,C6,C7,C8,C9,C15,C16,C22","0.1uF","11","~","",""
"C10,C11,C12,C13,C14,C20,C21","1uF","7","~","",""
"C17,C18","10uF","2","~","",""
"C19,C23,C24","2.2uF","3","~","",""
"C25,C27","4.7uF","2","~","",""
"C26","C","1","~","",""
"D1,D7,D8,D9","SFH_4545","4","https://look.ams-osram.com/m/3456970c8eccd2cb/original/SFH-4545.pdf","MM_Library:Emitter",""
"D2,D3,D4,D5,D6","1655","5","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/6130/1655.pdf","1655:LED_1655",""
"D10,D11,D12,D13,D14,D15,D16,D17,D18,D19","LED","10","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/544/B1501UY--20D001913U1930.pdf","",""
"FSP-1","~","1","","Package_QFP:LQFP-48_7x7mm_P0.5mm",""
"J1,J3","BM06B-SRSS-TBLFSN","2","https://www.jst-mfg.com/product/pdf/eng/eSH.pdf","BM06B_SRSS_TB_LF__SN_:CONN_BM06B-SRSS-TB_JST",""
"J2","Conn_01x04_Pin","1","~","Connector_PinHeader_1.00mm:PinHeader_1x04_P1.00mm_Vertical",""
"Q1,Q2,Q3,Q4","TEFT4300","4","https://www.vishay.com/docs/81549/teft4300.pdf","MM_Library:Emitter",""
"Q5,Q6,Q7,Q8,Q9","NMOS","5","https://ngspice.sourceforge.io/docs/ngspice-html-manual/manual.xhtml#cha_MOSFETs","",""
"R1","500","1","~","",""
"R2,R3,R4,R5,R6,R9,R11,R13,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25","220","18","~","",""
"R7,R8,R10,R12,R15","1000","5","~","",""
"R14","1k","1","~","",""
"R26","R","1","~","",""
"S1","SLW-105558-2A-N-D","1","https://www.sameskydevices.com/product/resource/slw-105558-2a-n-d.pdf","SLW_105558_2A_N_D:SW_SLW-105558-2A-N-D",""
"TP1","TestPoint","1","~","",""
"TP2","1V8_TP","1","~","",""
"TP3","5V_TP","1","~","",""
"TP4","3V3_TP","1","~","",""
"TP5","GND_TP","1","~","",""
"U1","STM32H503CBTx","1","https://www.st.com/resource/en/datasheet/stm32h503cb.pdf","Package_QFP:LQFP-48_7x7mm_P0.5mm",""
"U2","L293D","1","http://www.ti.com/lit/ds/symlink/l293.pdf","Package_DIP:DIP-16_W7.62mm",""
"U3","ICM-20948","1","http://www.invensense.com/wp-content/uploads/2016/06/DS-000189-ICM-20948-v1.3.pdf","Sensor_Motion:InvenSense_QFN-24_3x3mm_P0.4mm",""
"U4","MC78LC18NTR","1","https://www.onsemi.com/pdf/datasheet/mc78lc00-d.pdf","Package_TO_SOT_SMD:SOT-23-5",""
"U5","LM1085-5.0","1","http://www.ti.com/lit/ds/symlink/lm1085.pdf","",""
"U6","AP2210N-3.3TRG1","1","https://www.diodes.com/assets/Datasheets/AP2210.pdf","Package_TO_SOT_SMD:SOT-23W",""
